node_id,entity_id,node_type,degree,transaction_count,total_amount,chargeback_count,avg_relationship_risk,degree_percentile,amount_percentile,network_activity_score,component_id
USER::USR10001,USR10001,USER,1,1,0.172078,0,33.37,0.34854795788499365,0.023062979675267076,18.58,1
MERCHANT::MCH7754,MCH7754,MERCHANT,3,3,36977.922078,0,41.77333333333333,0.8986655867947086,0.9023872883643796,90.05,1
USER::USR10006,USR10006,USER,1,1,8445.34,0,23.59,0.34854795788499365,0.3012071425816653,32.49,2
MERCHANT::MCH5742,MCH5742,MERCHANT,5,5,80030.20999999999,0,27.369999999999997,0.9830113000887037,0.9949091750549578,98.9,2
USER::USR10007,USR10007,USER,2,2,12698.3407513,0,17.215,0.7790119171583941,0.4275135948166146,60.33,3
MERCHANT::MCH2501,MCH2501,MERCHANT,4,4,33014.7307513,0,19.445,0.9554745651587027,0.8803270469358633,91.79,3
MERCHANT::MCH8176,MCH8176,MERCHANT,2,2,30103.24,0,23.67,0.7790119171583941,0.8600794477226271,81.95,3
USER::USR10011,USR10011,USER,1,1,8691.46,0,20.67,0.34854795788499365,0.3082263103089205,32.84,4
MERCHANT::MCH6493,MCH6493,MERCHANT,4,4,20363.43,0,17.79,0.9554745651587027,0.6682479077480813,81.19,4
USER::USR10012,USR10012,USER,1,1,11874.48,0,23.02,0.34854795788499365,0.4025608392147788,37.56,5
MERCHANT::MCH9499,MCH9499,MERCHANT,4,4,72914.23,0,26.655,0.9554745651587027,0.991361024335686,97.34,5
USER::USR10017,USR10017,USER,1,1,0.1640216,0,14.96,0.34854795788499365,0.020941802614832812,18.47,6
MERCHANT::MCH3949,MCH3949,MERCHANT,4,4,41349.1440216,0,21.5475,0.9554745651587027,0.9258745034517336,94.07,6
USER::USR10027,USR10027,USER,1,1,18054.43,0,26.98,0.34854795788499365,0.593698175787728,47.11,7
MERCHANT::MCH7654,MCH7654,MERCHANT,2,2,28077.91,0,25.91,0.7790119171583941,0.8453083420108759,81.22,7
USER::USR10032,USR10032,USER,1,1,24876.37,0,48.77,0.34854795788499365,0.8178873076478075,58.32,8
MERCHANT::MCH3474,MCH3474,MERCHANT,4,4,54247.47,0,29.3625,0.9554745651587027,0.9670639052798026,96.13,8
USER::USR10035,USR10035,USER,1,1,0.1361091,0,13.66,0.34854795788499365,0.012264260094874465,18.04,9
MERCHANT::MCH7111,MCH7111,MERCHANT,2,2,0.27120940000000004,0,13.66,0.7790119171583941,0.04647306105133248,41.27,9
